overall,reviewText,summary,
1,Waaaay too BIG,One Star,
1," Was terribly disappointed, the pants were way too large in the legs, my husband looked like he was wearing blown up clown pants."," Was terribly disappointed, the pants were way too large in ...",
1,Waaaay too BIG,One Star,
1," Was terribly disappointed, the pants were way too large in the legs, my husband looked like he was wearing blown up clown pants."," Was terribly disappointed, the pants were way too large in ...",
1,Waaaay too BIG,One Star,
1," Was terribly disappointed, the pants were way too large in the legs, my husband looked like he was wearing blown up clown pants."," Was terribly disappointed, the pants were way too large in ...",
1,Waaaay too BIG,One Star,
1," Was terribly disappointed, the pants were way too large in the legs, my husband looked like he was wearing blown up clown pants."," Was terribly disappointed, the pants were way too large in ...",
1,They looked very cheap,Returned...looked cheap,
1," I wore these shoe one time, from the airport in Omaha, NE to the airport in Phoenix, AZ. When I arrived in Phoenix, the left shoe/sole started squeaking and won't stop. I want to return for a refund. Need instructions for returning as no paperwork was in my package when it arrived.",Squeaky soles,
1,Artculo equivocado en color,One Star,
1,I usually wear a size 8 and they fit fine. These are way too narrow. Thought they might stretch out but they didnt. Had to give away.,TOO NARROW!,
1,Oops! I returned these because I ordered wrong size!,One Star,
1," I loved these shoes...that is until after about an hour of wear, the green inserts on the sole of the right show began falling off. The wear was in my home, on smooth floors. I can only assume they were defective.",I loved these shoes,
1,I've not even had them a month and the bottom is coming off. I'm not happy!,Falling apart already!!,
1,Ordered 9(m) received 9 Wide for the second time. Returned them for the second time.,One Star,
1,After less than a week the sole ripped off on the outside of the shoe,Poor quality for Nike,
1," Returning these. the pictures on here make the shoe appear all black with a touch of pink in the check. however, the whole shoe has pink coming through. I was looking for an all black shoe. I ordered the Nike Women's Flex Supreme TR3 instead and love them!!!",I ordered the Nike Women's Flex Supreme TR3 instead and love them!,
1,wrong shoes,One Star,
1," Unfortunately, this Flex Supreme does NOT have enough support over the toe and ankle are for my requirements.\nReturning for credit.  Thanks anyway.",Did not fit my feet,
1,After using this shoes seven times for regular activities like walking or dancing the sole came out. I am very disappointed. I don't recommend this product at all. The worse part is that I can not return this item because the return window closed 4 days ago.,Poor Quality. Don't buy.,
1,Should have listened to other reviews. The elastics does not hold up.,One Star,
1,Constantly rolls down,One Star,
1,Should have listened to other reviews. The elastics does not hold up.,One Star,
1,Constantly rolls down,One Star,
1,They looked very cheap,Returned...looked cheap,
1," I wore these shoe one time, from the airport in Omaha, NE to the airport in Phoenix, AZ. When I arrived in Phoenix, the left shoe/sole started squeaking and won't stop. I want to return for a refund. Need instructions for returning as no paperwork was in my package when it arrived.",Squeaky soles,
1,Artculo equivocado en color,One Star,
1,I usually wear a size 8 and they fit fine. These are way too narrow. Thought they might stretch out but they didnt. Had to give away.,TOO NARROW!,
1,Oops! I returned these because I ordered wrong size!,One Star,
1," I loved these shoes...that is until after about an hour of wear, the green inserts on the sole of the right show began falling off. The wear was in my home, on smooth floors. I can only assume they were defective.",I loved these shoes,
1,I've not even had them a month and the bottom is coming off. I'm not happy!,Falling apart already!!,
1,Ordered 9(m) received 9 Wide for the second time. Returned them for the second time.,One Star,
1,After less than a week the sole ripped off on the outside of the shoe,Poor quality for Nike,
